"videogamesLabel","aspectRatio","frequentlyUpdated","gameArtistLabel","gameEngineLabel","latestPreviewDate","latestPreviewVersion","latestReleaseDate","latestReleaseVersion","operatingSystemLabel","programmingLanguageLabel","resolution"
"Mage: The Ascension",,,,,,,,,,,
"Magic: The Gathering",,,,,,,,,,,
"Magnavox Odyssey²",,,,,,,,,,,
"Maniac Mansion",,,"Maniac Mansion","Maniac Mansion",,,,,,,
"Quake (video game)",,,"Quake (video game)","Quake (video game)",,,,,,,
"Quake II",,,"Quake II","Quake II",,,,,,,
"Quake III Arena",,,"Quake III Arena","Quake III Arena",,,,,,,
"Red Faction",,,,"Red Faction",,,,,,,
"Return to Castle Wolfenstein",,,,"Return to Castle Wolfenstein",,,,,,,
"Rise of the Triad",,,,"Rise of the Triad",,,,,,,
"APB: All Points Bulletin",,,,"APB: All Points Bulletin",,,,,,,
"AVATAR (MUD)",,,,"AVATAR (MUD)",,,,,,,
"Abracadabra (video game)",,,,"Abracadabra (video game)",,,,,,,
"Aether (video game)",,,,"Aether (video game)",,,,,,,
"Age of Empires: The Rise of Rome",,,,"Age of Empires: The Rise of Rome",,,,,,,
"American McGee's Grimm",,,,"American McGee's Grimm",,,,,,,
"Assassin's Creed III: Liberation",,,,"Assassin's Creed III: Liberation",,,,,,,
"Battlefield 1942",,,,"Battlefield 1942",,,,,,,
"Beowulf: The Game",,,,"Beowulf: The Game",,,,,,,
"Black (video game)",,,,"Black (video game)",,,,,,,
"Black Mesa (video game)",,,,"Black Mesa (video game)",,,,,,,
"Bone: Out from Boneville",,,,"Bone: Out from Boneville",,,,,,,
"Bone: The Great Cow Race",,,,"Bone: The Great Cow Race",,,,,,,
"Burnout Legends",,,,"Burnout Legends",,,,,,,
"Burnout Paradise",,,,"Burnout Paradise",,,,,,,
"Chrome (video game)",,,,"Chrome (video game)",,,,,,,
"Civilization IV: Warlords",,,,"Civilization IV: Warlords",,,,,,,
"Command & Conquer: Renegade",,,,"Command & Conquer: Renegade",,,,,,,
"CrossFire (video game)",,,,"CrossFire (video game)",,,,,,,
"Dragon Age: Origins – Awakening",,,,"Dragon Age: Origins – Awakening",,,,,,,
"Dreamscape (video game)",,,,"Dreamscape (video game)",,,,,,,
"Nights into Dreams...",,,"Nights into Dreams...",,,,,,,,
"Super Mario Kart",,,"Super Mario Kart",,,,,,,,
"Castlevania: Rondo of Blood",,,"Castlevania: Rondo of Blood",,,,,,,,
"PlayStation 3",,,,,,,,,"PlayStation 3",,
"NetHack",,,,,,,,"3.6.0",,,
"EMSO simulator",,,,,,,,"0.9.60",,,
"Mahjong",,,,,,,,,,,
"Marvel Super Heroes (role-playing game)",,,,,,,,,,,
"Mathematical game",,,,,,,,,,,
"Metrication",,,,,,,,,,,
"Monopoly (game)",,,,,,,,,,,
"Musical chairs",,,,,,,,,,,
"N",,,,,,,,,,,
"Natural selection",,,,,,,,,,,
"Neo Geo CD",,,,,,,,,,,
"Neo Geo Pocket",,,,,,,,,,,
"Neopets",,,,,,,,,,,
"Nim",,,,,,,,,,,
"Nomic",,,,,,,,,,,
"Oh Hell",,,,,,,,,,,
"Omaha hold 'em",,,,,,,,,,,
"PC-FX",,,,,,,,,,,
"Pai gow",,,,,,,,,,,
"Paper-and-pencil game",,,,,,,,,,,
"Passive management",,,,,,,,,,,
"Pente",,,,,,,,,,,
"Phutball",,,,,,,,,,,
"Pig Latin",,,,,,,,,,,
"Pinochle",,,,,,,,,,,
"Play-by-mail game",,,,,,,,,,,
"PlayStation (console)",,,,,,,,,,,
"Playdia",,,,,,,,,,,
"Pong",,,,,,,,,,,
"Puzzle Bobble",,,,,,,,,,,
"R-Type",,,,,,,,,,,
"Radical Dreamers",,,,,,,,,,,
"Radical feminism",,,,,,,,,,,
"Raven Software",,,,,,,,,,,
"Reduced instruction set computing",,,,,,,,,,,
"Reversi",,,,,,,,,,,
"Risus",,,,,,,,,,,
"Role-playing game",,,,,,,,,,,
"Roulette",,,,,,,,,,,
"Rubik's Cube",,,,,,,,,,,
"RuneQuest",,,,,,,,,,,
"Scrabble",,,,,,,,,,,
"Secondary conversion",,,,,,,,,,,
"Sheepshead (game)",,,,,,,,,,,
"Shogi",,,,,,,,,,,
"Sid Meier's Alpha Centauri",,,,,,,,,,,
"Simon the Sorcerer",,,,,,,,,,,
"Sprouts (game)",,,,,,,,,,,
"StarCraft (video game)",,,,,,,,,,,
"Star Frontiers",,,,,,,,,,,
"Super Bowl",,,,,,,,,,,
"Super Nintendo Entertainment System",,,,,,,,,,,
"Video game",,,,,,,,,,,
"APB (1987 video game)",,,,,,,,,,,
"A Bug's Life (video game)",,,,,,,,,,,
"Ace (video game)",,,,,,,,,,,
"Ace Attorney Investigations: Miles Edgeworth",,,,,,,,,,,
"Ace Online",,,,,,,,,,,
"Action-adventure game",,,,,,,,,,,
"Age of Empires II: The Forgotten",,,,,,,,,,,
"Alan Wake",,,,,,,,,,,
"Albedo (role-playing game)",,,,,,,,,,,
"Alien vs. Predator (arcade game)",,,,,,,,,,,
"Another Century's Episode",,,,,,,,,,,
"Armada (video game)",,,,,,,,,,,
"Armored Core V",,,,,,,,,,,
"Artemis: Spaceship Bridge Simulator",,,,,,,,,,,
"Asda Story",,,,,,,,,,,
"Atlantis: The Lost Tales",,,,,,,,,,,
"Atlantis (Intellivision game)",,,,,,,,,,,
"Atlantis (video game)",,,,,,,,,,,
"Atomix (video game)",,,,,,,,,,,
"Aura: Fate of the Ages",,,,,,,,,,,
"Avatar: The Last Airbender (video game)",,,,,,,,,,,
"Avatar: The Last Airbender Trading Card Game",,,,,,,,,,,
"BCV: Battle Construction Vehicles",,,,,,,,,,,
"Banked turn",,,,,,,,,,,
"Barca (board game)",,,,,,,,,,,
"Battle City (video game)",,,,,,,,,,,
"Beer pong",,,,,,,,,,,
"Below (video game)",,,,,,,,,,,
"Beowulf: The Legend",,,,,,,,,,,
"Big Six wheel",,,,,,,,,,,
"Birthday Party Bash",,,,,,,,,,,
"Bisley (solitaire)",,,,,,,,,,,
"Black Hole (pinball)",,,,,,,,,,,
"Black Hole (solitaire)",,,,,,,,,,,
"Black Hole (video game)",,,,,,,,,,,
"Black Hole of Calcutta",,,,,,,,,,,
"Blocks That Matter",,,,,,,,,,,
"Bomber (video game)",,,,,,,,,,,
"Bootable business card",,,,,,,,,,,
"Brain Dead 13",,,,,,,,,,,
"Brass (board game)",,,,,,,,,,,
"Brave: Shaman's Challenge",,,,,,,,,,,
"Brave: The Search for Spirit Dancer",,,,,,,,,,,
"Brave (video game)",,,,,,,,,,,
"Bushido Blade (video game)",,,,,,,,,,,
"Bushido Blade 2",,,,,,,,,,,
"CARICOM Single Market and Economy",,,,,,,,,,,
"Cakewalk (carnival game)",,,,,,,,,,,
"Captain Skyhawk",,,,,,,,,,,
"Caribbean stud poker",,,,,,,,,,,
"Casino (video game)",,,,,,,,,,,
"Chaser (video game)",,,,,,,,,,,
"Clag (card game)",,,,,,,,,,,
"Club Penguin: Elite Penguin Force",,,,,,,,,,,
"Code (video game)",,,,,,,,,,,
"Colony (video game)",,,,,,,,,,,
"Columns (video game)",,,,,,,,,,,
"Commando (role-playing game)",,,,,,,,,,,
"Commando (video game)",,,,,,,,,,,
"Constructible strategy game",,,,,,,,,,,
"Contra (video game)",,,,,,,,,,,
"Cookie (video game)",,,,,,,,,,,
"Country Life (video game)",,,,,,,,,,,
"Crash: Mind over Mutant",,,,,,,,,,,
"Crash 'n' the Boys: Street Challenge",,,,,,,,,,,
"Crossfire (1981 video game)",,,,,,,,,,,
"Crossfire (1992 video game)",,,,,,,,,,,
"Crossfire (board game)",,,,,,,,,,,
"Crossfire (card game)",,,,,,,,,,,
"Cyclone (video game)",,,,,,,,,,,
"Cyclones (video game)",,,,,,,,,,,
"Dao (game)",,,,,,,,,,,
"Dark Angel: Vampire Apocalypse",,,,,,,,,,,
"Dark Angel (video game)",,,,,,,,,,,
"Dead Zone (video game)",,,,,,,,,,,
"Dementium: The Ward",,,,,,,,,,,
"Destroyer (arcade game)",,,,,,,,,,,
"Destroyer (video game)",,,,,,,,,,,
"Deus (video game)",,,,,,,,,,,
"Diamonds (video game)",,,,,,,,,,,
"Discworld Noir",,,,,,,,,,,
"Dizzy – The Ultimate Cartoon Adventure",,,,,,,,,,,
"Downfall (game)",,,,,,,,,,,
"Dream House (video game)",,,,,,,,,,,
"Druid (video game)",,,,,,,,,,,
"Duet (video game)",,,,,,,,,,,
"Dyad (video game)",,,,,,,,,,,
"Earth Defense Force (video game)",,,,,,,,,,,
"Metal Gear Solid V: The Phantom Pain",,,"Metal Gear Solid V: The Phantom Pain","Metal Gear Solid V: The Phantom Pain",,,,,,,
"Elven Legacy",,,,"Elven Legacy",,,,,,,
"Escape from Monkey Island",,,,"Escape from Monkey Island",,,,,,,
"God Mode",,,,"God Mode",,,,,,,
"Hector: Badge of Carnage",,,,"Hector: Badge of Carnage",,,,,,,
"Heist (video game)",,,,"Heist (video game)",,,,,,,
"In the Groove (video game)",,,,"In the Groove (video game)",,,,,,,
"James Cameron's Avatar: The Game",,,,"James Cameron's Avatar: The Game",,,,,,,
"Kinetic Void",,,,"Kinetic Void",,,,,,,
"Life Is Strange",,,,"Life Is Strange",,,,,,,
"Manhunt (video game)",,,,"Manhunt (video game)",,,,,,,
"Max Payne 2: The Fall of Max Payne",,,,"Max Payne 2: The Fall of Max Payne",,,,,,,
"Max Payne 3",,,,"Max Payne 3",,,,,,,
"Mortal Online",,,,"Mortal Online",,,,,,,
"Nightmare LPMud",,,,"Nightmare LPMud",,,,,,,
"Oddworld: Munch's Oddysee",,,,"Oddworld: Munch's Oddysee",,,,,,,
"Operation Flashpoint: Cold War Crisis",,,,"Operation Flashpoint: Cold War Crisis",,,,,,,
"Payday: The Heist",,,,"Payday: The Heist",,,,,,,
"Phantasmagoria (video game)",,,,"Phantasmagoria (video game)",,,,,,,
"Quest for Glory II: Trial by Fire",,,,"Quest for Glory II: Trial by Fire",,,,,,,
"Ragnarök (MUD)",,,,"Ragnarök (MUD)",,,,,,,
"Rayman Raving Rabbids",,,,"Rayman Raving Rabbids",,,,,,,
"Shroud of the Avatar: Forsaken Virtues",,,,"Shroud of the Avatar: Forsaken Virtues",,,,,,,
"Sins of a Solar Empire",,,,"Sins of a Solar Empire",,,,,,,
"Skynet (video game)",,,,"Skynet (video game)",,,,,,,
"Sniper: Ghost Warrior",,,,"Sniper: Ghost Warrior",,,,,,,
"Sniper: Ghost Warrior 2",,,,"Sniper: Ghost Warrior 2",,,,,,,
"Final Fantasy XIV: A Realm Reborn",,,"Final Fantasy XIV: A Realm Reborn",,,,,,,,
"Ginga Fukei Densetsu Sapphire",,,"Ginga Fukei Densetsu Sapphire",,,,,,,,
"Kingdoms of Amalur: Reckoning",,,"Kingdoms of Amalur: Reckoning",,,,,,,,
"Ogre Battle: The March of the Black Queen",,,"Ogre Battle: The March of the Black Queen",,,,,,,,
"Pokémon Diamond and Pearl",,,"Pokémon Diamond and Pearl",,,,,,,,
"Rampage (video game)",,,"Rampage (video game)",,,,,,,,
"Rings of Power (video game)",,,"Rings of Power (video game)",,,,,,,,
"Shin Megami Tensei: Digital Devil Saga",,,"Shin Megami Tensei: Digital Devil Saga",,,,,,,,
"Pandora (console)",,,,,,,,,"Pandora (console)",,
"Shield Portable",,,,,,,,,"Shield Portable",,
"Indigo Renderer",,"yes",,,,,,,,,
"OGRE",,,,,,"2.1",,"1.9.0 (Ghadamon)",,,
"Earthrise (1990 video game)",,,,,,,,,,,
"Earthrise (video game)",,,,,,,,,,,
"Ecco the Dolphin",,,,,,,,,,,
"Echelon (card game)",,,,,,,,,,,
"Echelon (video game)",,,,,,,,,,,
"Elemental: War of Magic",,,,,,,,,,,
"Elemental (video game)",,,,,,,,,,,
"Emit (video game)",,,,,,,,,,,
"Escape (video game)",,,,,,,,,,,
"Evening Star (video game)",,,,,,,,,,,
"Evo (board game)",,,,,,,,,,,
"Excalibur: Morgana's Revenge",,,,,,,,,,,
"Excalibur (video game)",,,,,,,,,,,
"Extended producer responsibility",,,,,,,,,,,
"F-22 Total Air War",,,,,,,,,,,
"FIST (1996 video game)",,,,,,,,,,,
"Fade to Black (video game)",,,,,,,,,,,
"Fancy Pants Adventures",,,,,,,,,,,
"Fantasy football (association)",,,,,,,,,,,
"Fiesta Bowl",,,,,,,,,,,
"Fiesta Online",,,,,,,,,,,
"Fire Emblem: Genealogy of the Holy War",,,,,,,,,,,
"Flock!",,,,,,,,,,,
"Fluxx",,,,,,,,,,,
"Follow the leader (game)",,,,,,,,,,,
"Football Manager (1982 series)",,,,,,,,,,,
"Football Manager Live",,,,,,,,,,,
"Front Page Challenge",,,,,,,,,,,
"Galaxy Game",,,,,,,,,,,
"Galilei ja kadonneet lelut",,,,,,,,,,,
"Garou: Mark of the Wolves",,,,,,,,,,,
"Gender reform in Esperanto",,,,,,,,,,,
"GodsWar Online",,,,,,,,,,,
"Goody (video game)",,,,,,,,,,,
"Gravity Guy",,,,,,,,,,,
"Grey goo",,,,,,,,,,,
"Gridiron Classic",,,,,,,,,,,
"Grimm (role-playing game)",,,,,,,,,,,
"H.A.T.E.: Hostile All-Terrain Encounter",,,,,,,,,,,
"H.E.R.O.",,,,,,,,,,,
"Haggle (game)",,,,,,,,,,,
"Hanabi (card game)",,,,,,,,,,,
"Hannibal (video game)",,,,,,,,,,,
"Harley's Humongous Adventure",,,,,,,,,,,
"Heads And Tails",,,,,,,,,,,
"Heist (2002 video game)",,,,,,,,,,,
"Hellcats over the Pacific",,,,,,,,,,,
"Hero Online",,,,,,,,,,,
"Holy War (Utah vs. BYU)",,,,,,,,,,,
"Holy War (Villanova vs. St. Joe's)",,,,,,,,,,,
"Hot Wheels: Crash!",,,,,,,,,,,
"I.Q.: Intelligent Qube",,,,,,,,,,,
"Ice Palace (1985 video game)",,,,,,,,,,,
"Ico",,,,,,,,,,,
"Ignition (video game)",,,,,,,,,,,
"Imperium (1990 video game)",,,,,,,,,,,
"Imperium (1992 video game)",,,,,,,,,,,
"In Memoriam (video game)",,,,,,,,,,,
"In the Groove 2",,,,,,,,,,,
"Independence Day (video game)",,,,,,,,,,,
"Indigo (board game)",,,,,,,,,,,
"Inner Circle (board game)",,,,,,,,,,,
"International Karate",,,,,,,,,,,
"Jabberwocky (card game)",,,,,,,,,,,
"Jesus: Kyōfu no Bio Monster",,,,,,,,,,,
"Jet (video game)",,,,,,,,,,,
"KGB (video game)",,,,,,,,,,,
"Katamari Forever",,,,,,,,,,,
"Kegel (bowling)",,,,,,,,,,,
"Killzone: Liberation",,,,,,,,,,,
"King Neptune's Adventure",,,,,,,,,,,
"Knight Online",,,,,,,,,,,
"Kolibri (video game)",,,,,,,,,,,
"Krull (video game)",,,,,,,,,,,
"Kubb",,,,,,,,,,,
"L.A. Noire",,,,,,,,,,,
"LOGOS cards",,,,,,,,,,,
"Laser 128",,,,,,,,,,,
"Last Call (video game)",,,,,,,,,,,
"Launch Pad (card game)",,,,,,,,,,,
"Launch on warning",,,,,,,,,,,
"Legend (1992 video game)",,,,,,,,,,,
"Legend (1994 video game)",,,,,,,,,,,
"Legend of Wukong",,,,,,,,,,,
"Legend of the Five Rings (collectible card game)",,,,,,,,,,,
"Legend of the Five Rings Roleplaying Game",,,,,,,,,,,
"Lego Marvel Super Heroes",,,,,,,,,,,
"Lego Rock Band",,,,,,,,,,,
"Lego The Hobbit (video game)",,,,,,,,,,,
"Lemon (card game)",,,,,,,,,,,
"Leviathan: The Last Day of the Decade",,,,,,,,,,,
"Liberation: Captive 2",,,,,,,,,,,
"Lines of Action",,,,,,,,,,,
"Looney Tunes: Space Race",,,,,,,,,,,
"Lord Monarch",,,,,,,,,,,
"Lums: The Game of Light and Shadows",,,,,,,,,,,
"Mace: The Dark Age",,,,,,,,,,,
"Magician (video game)",,,,,,,,,,,
"Manhunt 2",,,,,,,,,,,
"Manx TT Super Bike",,,,,,,,,,,
"Mario Strikers Charged",,,,,,,,,,,
"Marvel Super Heroes: War of the Gems",,,,,,,,,,,
"Marvel Super Heroes (video game)",,,,,,,,,,,
"Marvel Super Heroes Adventure Game",,,,,,,,,,,
"Masthead Studios",,,,,,,,,,,
"Max Payne",,,,,,,,,,,
"Men of War",,,,,,,,,,,
"Mercenary (video game)",,,,,,,,,,,
"Metal Gear Rising: Revengeance",,,,,,,,,,,
"Microsoft Flight",,,,,,,,,,,
"Millennium 2.2",,,,,,,,,,,
"Millennium Run",,,,,,,,,,,
"Milo (video game)",,,,,,,,,,,
"Milon's Secret Castle",,,,,,,,,,,
"Mob Rule",,,,,,,,,,,
"Mobile Suit Gundam: Crossfire",,,,,,,,,,,
"Monarch: The Butterfly King",,,,,,,,,,,
"Monster Munch (video game)",,,,,,,,,,,
"Monte Bank",,,,,,,,,,,
"Moonstone: A Hard Days Knight",,,,,,,,,,,
"Moose (Drinking Game)",,,,,,,,,,,
"Motos",,,,,,,,,,,
"Mr. Wimpy (video game)",,,,,,,,,,,
"Munchkin (card game)",,,,,,,,,,,
"Munchkin (video game)",,,,,,,,,,,
"NearGlobal",,,,,,,,,,,
"NeoGeo Battle Coliseum",,,,,,,,,,,
"Neves (video game)",,,,,,,,,,,
"New institutional economics",,,,,,,,,,,
"Nice model",,,,,,,,,,,
"Nightmare (Atmosfear series)",,,,,,,,,,,
"No Man's Land (video game)",,,,,,,,,,,
"No Man's Sky",,,,,,,,,,,
"No More Heroes (video game)",,,,,,,,,,,
"OPS-301",,,,,,,,,,,
"Obsession (board game)",,,,,,,,,,,
"Obsession (video game)",,,,,,,,,,,
"Ogre (video game)",,,,,,,,,,,
"One on One: Dr. J vs. Larry Bird",,,,,,,,,,,
"Onslaught (2009 video game)",,,,,,,,,,,
"Onslaught (video game)",,,,,,,,,,,
"Orpheus (role-playing game)",,,,,,,,,,,
"Osman (video game)",,,,,,,,,,,
"PDQ (game show)",,,,,,,,,,,
"Panzer Dragoon",,,,,,,,,,,
"Paperboy (video game)",,,,,,,,,,,
"Pathfinder Roleplaying Game",,,,,,,,,,,
"Performance-based logistics",,,,,,,,,,,
"Performance Based Contracting",,,,,,,,,,,
"Phantasmagoria: A Puzzle of Flesh",,,,,,,,,,,
"Pitstop (video game)",,,,,,,,,,,
"Pokémon Emerald",,,,,,,,,,,
"Pokémon Snap",,,,,,,,,,,
"Polaris (1997 role-playing game)",,,,,,,,,,,
"Polaris (2005 role-playing game)",,,,,,,,,,,
"PopCorn (video game)",,,,,,,,,,,
"Pope Joan (card game)",,,,,,,,,,,
"Professor Heinz Wolff's Gravity",,,,,,,,,,,
"Project Milo",,,,,,,,,,,
"Prophecy: The Fall of Trinadon",,,,,,,,,,,
"Protector (arcade game)",,,,,,,,,,,
"Protector (video game)",,,,,,,,,,,
"Pulsar (video game)",,,,,,,,,,,
"Quartz (graphics layer)",,,,,,,,,,,
"Quicksand (board game)",,,,,,,,,,,
"RF Online",,,,,,,,,,,
"ROSE Online",,,,,,,,,,,
"Raiden (video game)",,,,,,,,,,,
"Raiden DX",,,,,,,,,,,
"Raiden Fighters",,,,,,,,,,,
"Raiden Fighters 2",,,,,,,,,,,
"Raiden Fighters Jet",,,,,,,,,,,
"Raiden II",,,,,,,,,,,
"Raiden III",,,,,,,,,,,
"Raiden IV",,,,,,,,,,,
"Rapid Execution and Combat Targeting System",,,,,,,,,,,
"Ratchet & Clank: Going Commando",,,,,,,,,,,
"Rave (board game)",,,,,,,,,,,
"Razzle (game)",,,,,,,,,,,
"Real Bout Fatal Fury Special",,,,,,,,,,,
"Renegade (video game)",,,,,,,,,,,
"Rhapsody: A Musical Adventure",,,,,,,,,,,
"Richard Petty's Talladega",,,,,,,,,,,
"Rick Krebs",,,,,,,,,,,
"Rock-paper-scissors",,,,,,,,,,,
"Rohan: Blood Feud",,,,,,,,,,,
"SNK vs. Capcom: Card Fighters Clash",,,,,,,,,,,
"Saint Petersburg (board game)",,,,,,,,,,,
"San Francisco Rush: Extreme Racing",,,,,,,,,,,
"Screamer (video game)",,,,,,,,,,,
"Screw (card game)",,,,,,,,,,,
"Scruples (game)",,,,,,,,,,,
"Sega Genesis Collection",,,,,,,,,,,
"Severance: Blade of Darkness",,,,,,,,,,,
"Sha Tin to Central Link",,,,,,,,,,,
"Shadow Hearts: Covenant",,,,,,,,,,,
"Shank (video game)",,,,,,,,,,,
"Shaq Fu",,,,,,,,,,,
"Sherlock Holmes: The Awakened",,,,,,,,,,,
"Shoot the Bullet",,,,,,,,,,,
"Siren (video game)",,,,,,,,,,,
"Sniper Elite",,,,,,,,,,,
"Sniper Elite III",,,,,,,,,,,
"Sniper Elite V2",,,,,,,,,,,
"Snood (video game)",,,,,,,,,,,
"Sonic Riders: Zero Gravity",,,,,,,,,,,
"Spec Ops: The Line",,,,"Spec Ops: The Line",,,,,,,
"Star Wars: Battlefront (2004 video game)",,,,"Star Wars: Battlefront (2004 video game)",,,,,,,
"Star Wars: Battlefront II",,,,"Star Wars: Battlefront II",,,,,,,
"Star Wars: Empire at War: Forces of Corruption",,,,"Star Wars: Empire at War: Forces of Corruption",,,,,,,
"Star Wars Battlefront: Elite Squadron",,,,"Star Wars Battlefront: Elite Squadron",,,,,,,
"Star Wars Battlefront (2015 video game)",,,,"Star Wars Battlefront (2015 video game)",,,,,,,
"Streets of SimCity",,,,"Streets of SimCity",,,,,,,
"The Bard's Tale (2004 video game)",,,,"The Bard's Tale (2004 video game)",,,,,,,
"Tom Clancy's Rainbow Six: Vegas",,,,"Tom Clancy's Rainbow Six: Vegas",,,,,,,
"Tom Clancy's Rainbow Six: Vegas 2",,,,"Tom Clancy's Rainbow Six: Vegas 2",,,,,,,
"TorilMUD",,,,"TorilMUD",,,,,,,
"Tourist Trophy (video game)",,,,"Tourist Trophy (video game)",,,,,,,
"Transformers: Fall of Cybertron",,,,"Transformers: Fall of Cybertron",,,,,,,
"Transformice",,,,"Transformice",,,,,,,
"Turning Point: Fall of Liberty",,,,"Turning Point: Fall of Liberty",,,,,,,
"Twisted Metal: Black",,,,"Twisted Metal: Black",,,,,,,
"UFO: Alien Invasion",,,,"UFO: Alien Invasion",,,,,,,
"Unreal II: The Awakening",,,,"Unreal II: The Awakening",,,,,,,
"Virginia (video game)",,,,"Virginia (video game)",,,,,,,
"Wasteland 2",,,,"Wasteland 2",,,,,,,
"Wii Fit",,,,"Wii Fit",,,,,,,
"Wizard101",,,,"Wizard101",,,,,,,
"World of Tanks",,,,"World of Tanks",,,,,,,
"Zuma (video game)",,,,"Zuma (video game)",,,,,,,
"Astro Boy: The Video Game",,,,"Astro Boy: The Video Game",,,,,,,
"Asura's Wrath",,,,"Asura's Wrath",,,,,,,
"Half-Life: Decay",,,,"Half-Life: Decay",,,,,,,
"Ronin (video game)",,,,"Ronin (video game)",,,,,,,
"Space Quest I",,,,"Space Quest I",,,,,,,
"Star Wars: The Clone Wars (2002 video game)",,,,"Star Wars: The Clone Wars (2002 video game)",,,,,,,
"The Drowning (video game)",,,,"The Drowning (video game)",,,,,,,
"Transformers: Dark of the Moon (video game)",,,,"Transformers: Dark of the Moon (video game)",,,,,,,
"Tales of Graces",,,"Tales of Graces",,,,,,,,
"Tales of Vesperia",,,"Tales of Vesperia",,,,,,,,
"Thumper (video game)",,,"Thumper (video game)",,,,,,,,
"UFO: A Day in the Life",,,"UFO: A Day in the Life",,,,,,,,
"X-Men: Children of the Atom (video game)",,,"X-Men: Children of the Atom (video game)",,,,,,,,
"Xperia Play",,,,,,,,,"Xperia Play",,
"Zillions of Games",,,,,,,,"2.0.1",,,
"Sonic the Fighters",,,,,,,,,,,
"Space Race (video game)",,,,,,,,,,,
"Spellbound!",,,,,,,,,,,
"Spellbound (1984 video game)",,,,,,,,,,,
"Spellbound (video game)",,,,,,,,,,,
"Sports table football",,,,,,,,,,,
"Star Trek: Armada",,,,,,,,,,,
"Star Trek: New Worlds",,,,,,,,,,,
"Star Wars Battlefront: Renegade Squadron",,,,,,,,,,,
"Starquake (video game)",,,,,,,,,,,
"Storm: Frontline Nation",,,,,,,,,,,
"Striker (video game)",,,,,,,,,,,
"Structured-light 3D scanner",,,,,,,,,,,
"Sugar Bowl",,,,,,,,,,,
"Super Contra",,,,,,,,,,,
"Super Mario Bros. Crossover",,,,,,,,,,,
"Super Mario Galaxy",,,,,,,,,,,
"Super Mario Galaxy 2",,,,,,,,,,,
"Super Mario Strikers",,,,,,,,,,,
"Superman (1999 video game)",,,,,,,,,,,
"Superman (Kemco game)",,,,,,,,,,,
"Superman (Sunsoft game)",,,,,,,,,,,
"Superman (arcade game)",,,,,,,,,,,
"Swarm (1998 video game)",,,,,,,,,,,
"Swarm (2011 video game)",,,,,,,,,,,
"Switch (card game)",,,,,,,,,,,
"Sword of Vermilion",,,,,,,,,,,
"Taj Mahal (board game)",,,,,,,,,,,
"Tamagotchi",,,,,,,,,,,
"Tecmo Bowl Throwback",,,,,,,,,,,
"Teenage Mutant Ninja Turtles: Turtles in Time",,,,,,,,,,,
"The Bard's Tale (1985 video game)",,,,,,,,,,,
"The Bard's Tale Construction Set",,,,,,,,,,,
"The Bard's Tale II: The Destiny Knight",,,,,,,,,,,
"The Bard's Tale III: Thief of Fate",,,,,,,,,,,
"The Blockheads (video game)",,,,,,,,,,,
"The Colony (video game)",,,,,,,,,,,
"The End (video game)",,,,,,,,,,,
"The Flock (video game)",,,,,,,,,,,
"The Glob",,,,,,,,,,,
"The Hobbit (1982 video game)",,,,,,,,,,,
"The Hobbit (2003 video game)",,,,,,,,,,,
"The Horde (video game)",,,,,,,,,,,
"The Humans (video game)",,,,,,,,,,,
"The Island (video game)",,,,,,,,,,,
"The Legend of Dragoon",,,,,,,,,,,
"The Lord of the Rings Online: Riders of Rohan",,,,,,,,,,,
"The Quill",,,,,,,,,,,
"The Shield (video game)",,,,,,,,,,,
"The Sims 2",,,,,,,,,,,
"The Sims 2: Seasons",,,,,,,,,,,
"The Sims 3",,,,,,,,,,,
"The Sims 3: Seasons",,,,,,,,,,,
"The Sims 4",,,,,,,,,,,
"The Sims Medieval",,,,,,,,,,,
"The Unbelievable Truth (radio show)",,,,,,,,,,,
"The Warlord (board game)",,,,,,,,,,,
"The Warriors (video game)",,,,,,,,,,,
"Three-card Monte",,,,,,,,,,,
"Three card brag",,,,,,,,,,,
"Toki (video game)",,,,,,,,,,,
"Tomb Raider: The Prophecy",,,,,,,,,,,
"Tomb of the Lizard King",,,,,,,,,,,
"Top Gear 3000",,,,,,,,,,,
"Tornado (1993 video game)",,,,,,,,,,,
"Tornado (2008 video game)",,,,,,,,,,,
"Transmetropolitan",,,,,,,,,,,
"Transport Tycoon",,,,,,,,,,,
"Trusted service manager",,,,,,,,,,,
"Turf (video game)",,,,,,,,,,,
"Twitch gameplay",,,,,,,,,,,
"UFO: Afterlight",,,,,,,,,,,
"UFO: Aftershock",,,,,,,,,,,
"UFO: Extraterrestrials",,,,,,,,,,,
"UFO Kamen Yakisoban",,,,,,,,,,,
"Ultima II: The Revenge of the Enchantress",,,,,,,,,,,
"Ultima Online: Renaissance",,,,,,,,,,,
"Ultima VII: The Black Gate",,,,,,,,,,,
"Undefined Fantastic Object",,,,,,,,,,,
"Universal Fighting System",,,,,,,,,,,
"Uno (card game)",,,,,,,,,,,
"Uno (handheld game)",,,,,,,,,,,
"Uno (video game)",,,,,,,,,,,
"Utopia: The Creation of a Nation",,,,,,,,,,,
"Utopia (video game)",,,,,,,,,,,
"Valhalla: Before the War",,,,,,,,,,,
"Valhalla (video game)",,,,,,,,,,,
"Valhalla and the Fortress of Eve",,,,,,,,,,,
"Valkyrie Profile",,,,,,,,,,,
"Valkyrie Profile: Covenant of the Plume",,,,,,,,,,,
"Valkyrie Profile 2: Silmeria",,,,,,,,,,,
"Versailles 1685",,,,,,,,,,,
