"videogamesLabel","aspectRatio","frequentlyUpdated","gameArtistLabel","gameEngineLabel","latestPreviewDate","latestPreviewVersion","latestReleaseDate","latestReleaseVersion","operatingSystemLabel","programmingLanguageLabel","resolution"
"Frenzy (1982 video game)",,,,,,,,,,,
"Frenzy (1984 video game)",,,,,,,,,,,
"God of War: Betrayal",,,,,,,,,,,
"John Elway's Quarterback",,,,,,,,,,,
"Kajiri Kamui Kagura",,,,,,,,,,,
"King of Kings: The Early Years",,,,,,,,,,,
"Kokoro (video game)",,,,,,,,,,,
"MUD1",,,,,,,,,,,
"Missing Link (puzzle)",,,,,,,,,,,
"Molniya (rocket)",,,,,,,,,,,
"Mortal Kombat: Special Forces",,,,,,,,,,,
"New Super Mario Bros. 2",,,,,,,,,,,
"New Super Mario Bros. U",,,,,,,,,,,
"New Super Mario Bros. Wii",,,,,,,,,,,
"Norðri, Suðri, Austri and Vestri",,,,,,,,,,,
"Patterns (video game)",,,,,,,,,,,
"Pool Shark 2",,,,,,,,,,,
"Redline (1999 video game)",,,,,,,,,,,
"Redline Racer",,,,,,,,,,,
"Return to Krondor",,,,,,,,,,,
"Special Forces (video game)",,,,,,,,,,,
"Street Legal Racing: Redline",,,,,,,,,,,
"SuperPower",,,,,,,,,,,
"Super Mario Bros.",,,,,,,,,,,
"The Chronicles of Narnia: Prince Caspian (video game)",,,,,,,,,,,
"The Tower SP",,,,,,,,,,,
"Towering Inferno (video game)",,,,,,,,,,,
"WWF Betrayal",,,,,,,,,,,
"Young Justice: Legacy",,,,,,,,,,,
"-gry",,,,,,,,,,,
"221B Baker Street (board game)",,,,,,,,,,,
"221B Baker Street (video game)",,,,,,,,,,,
"24: The Game",,,,,,,,,,,
"ATR: All Terrain Racing",,,,,,,,,,,
"Aces High (video game)",,,,,,,,,,,
"Afterlife (video game)",,,,,,,,,,,
"Albright Stonebridge Group",,,,,,,,,,,
"Alvin and the Chipmunks: Chipwrecked (video game)",,,,,,,,,,,
"Alvin and the Chipmunks (video game)",,,,,,,,,,,
"Angler (video game)",,,,,,,,,,,
"Anubis II",,,,,,,,,,,
"Aquarium (video game)",,,,,,,,,,,
"Arachnophobia (video game)",,,,,,,,,,,
"Ardy Lightfoot",,,,,,,,,,,
"BaboViolent 2",,,,,,,,,,,
"Badlands (1984 video game)",,,,,,,,,,,
"Badlands (video game)",,,,,,,,,,,
"Baker's Dozen (solitaire)",,,,,,,,,,,
"Basketball (1978 video game)",,,,,,,,,,,
"Basketball (1980 video game)",,,,,,,,,,,
"Battle Cry (Milton Bradley game)",,,,,,,,,,,
"Bayonetta",,,,,,,,,,,
"Beep (video game)",,,,,,,,,,,
"Beyond: Two Souls",,,,,,,,,,,
"Big Game (American football)",,,,,,,,,,,
"Big Game (poker)",,,,,,,,,,,
"Black Box (game)",,,,,,,,,,,
