videogames,videogamesLabel,fictionalUniverseLabel,followsLabel,followedByLabel,basedOnLabel
http://www.wikidata.org/entity/Q24516,Fire Emblem: New Mystery of the Emblem,,,,
http://www.wikidata.org/entity/Q28226,Army Men: RTS,,,,
http://www.wikidata.org/entity/Q37229,Pekka the Rooster 2,,,,
http://www.wikidata.org/entity/Q44373,Nintendo Land,,,,
http://www.wikidata.org/entity/Q48251,AntMe!,,,,
http://www.wikidata.org/entity/Q49607,The Elder Scrolls IV: Oblivion,,The Elder Scrolls III: Morrowind,The Elder Scrolls V: Skyrim,
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift,,,,
http://www.wikidata.org/entity/Q44462,Animal Crossing: New Leaf,,,,
http://www.wikidata.org/entity/Q54334,Star Wars: Return of the Jedi (video game),Star Wars expanded to other media,Star Wars,Star Wars: The Empire Strikes Back (1985 video game),Return of the Jedi
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,,Beyond Castle Wolfenstein,Spear of Destiny,
http://www.wikidata.org/entity/Q2374,Civilization III,,,,
http://www.wikidata.org/entity/Q2385,Civilization V,,,,
http://www.wikidata.org/entity/Q27296,Bio Miracle Bokutte Upa,,,,
http://www.wikidata.org/entity/Q54843,Star Wars: Obi-Wan,,,,
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Grand Theft Auto HD universe,Grand Theft Auto: Episodes from Liberty City,,
http://www.wikidata.org/entity/Q54320,Star Wars,Star Wars expanded to other media,,Star Wars: The Empire Strikes Back (1992 video game),Star Wars
http://www.wikidata.org/entity/Q27107,DC Universe Online,,,,DC Universe
http://www.wikidata.org/entity/Q54840,Star Wars Episode I: Battle for Naboo,Star Wars expanded to other media,,,Star Wars
http://www.wikidata.org/entity/Q49740,Minecraft,Minecraft universe,,,
http://www.wikidata.org/entity/Q22986,Amnesia: The Dark Descent,,,Amnesia: A Machine for Pigs,
http://www.wikidata.org/entity/Q54853,Star Wars: X-Wing,Star Wars expanded to other media,,Star Wars X-Wing: Tour of Duty – Imperial Pursuit,
http://www.wikidata.org/entity/Q54338,Star Wars: Episode I – The Phantom Menace (video game),Star Wars expanded to other media,,,Star Wars: Episode I – The Phantom Menace
http://www.wikidata.org/entity/Q942896,Spyro 2: Ripto's Rage!,,Spyro the Dragon,Spyro: Year of the Dragon,
http://www.wikidata.org/entity/Q949837,Q949837,,,,
http://www.wikidata.org/entity/Q939447,Painkiller,,,,
http://www.wikidata.org/entity/Q945991,Krater,,,,
http://www.wikidata.org/entity/Q933581,Myth War Online,,,,
http://www.wikidata.org/entity/Q933951,Giga Wing,,,,
http://www.wikidata.org/entity/Q933967,Tumblepop,,,,
http://www.wikidata.org/entity/Q938360,Commander Keen,,,,
http://www.wikidata.org/entity/Q942588,Armed and Dangerous,,,,
http://www.wikidata.org/entity/Q948387,Captain America and The Avengers,,,,
http://www.wikidata.org/entity/Q945899,Spy vs. Spy,,,,
http://www.wikidata.org/entity/Q947275,Alchemy,,,,
http://www.wikidata.org/entity/Q950084,Trojan,,,,
http://www.wikidata.org/entity/Q941354,Sunset Riders,,,,
http://www.wikidata.org/entity/Q936016,Heretic,,,,
http://www.wikidata.org/entity/Q932875,Jaguar XJ220,,,,
http://www.wikidata.org/entity/Q930345,Metal Gear Rising: Revengeance,,,,
http://www.wikidata.org/entity/Q933378,Rodea the Sky Soldier,,,,
http://www.wikidata.org/entity/Q936008,Republic: The Revolution,,,,
http://www.wikidata.org/entity/Q936021,The Simpsons: Cartoon Studio,,,,
http://www.wikidata.org/entity/Q940134,Shift 2 Unleashed,,,,
http://www.wikidata.org/entity/Q940320,La Pucelle: Tactics,,,,
http://www.wikidata.org/entity/Q942008,Arthur to Astaroth no Nazomakaimura: Incredible Toons,,,,
http://www.wikidata.org/entity/Q943115,Spyro: Year of the Dragon,,,,
http://www.wikidata.org/entity/Q945187,Shin Megami Tensei: Devil Survivor,,,,
http://www.wikidata.org/entity/Q945697,Assault Rigs,,,,
http://www.wikidata.org/entity/Q946557,Richard Burns Rally,,,,
http://www.wikidata.org/entity/Q950106,Howrse,,,,
http://www.wikidata.org/entity/Q950338,River Patrol,,,,
http://www.wikidata.org/entity/Q932521,Minesweeper,,,,
http://www.wikidata.org/entity/Q940168,Chiller,,,,
http://www.wikidata.org/entity/Q937066,Freelancer,,Starlancer,,
http://www.wikidata.org/entity/Q930060,Playboy: The Mansion,Playboy universe,,,
