videogames,videogamesLabel,gameModeLabel
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy,single-player video game
http://www.wikidata.org/entity/Q55246,Lego Star Wars II Mobile,single-player video game
http://www.wikidata.org/entity/Q55225,Star Wars: Starfighter,single-player video game
http://www.wikidata.org/entity/Q55248,Star Wars Trilogy Arcade,single-player video game
http://www.wikidata.org/entity/Q55287,Star Wars: Dark Forces,single-player video game
http://www.wikidata.org/entity/Q55561,3D Construction Kit,single-player video game
http://www.wikidata.org/entity/Q55607,Bonanza Bros.,single-player video game
http://www.wikidata.org/entity/Q57644,Back to Skool,single-player video game
http://www.wikidata.org/entity/Q55563,3D Knockout,
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy,cooperative gameplay
http://www.wikidata.org/entity/Q55607,Bonanza Bros.,cooperative gameplay
http://www.wikidata.org/entity/Q55228,Lego Star Wars III: The Clone Wars,single-player video game
http://www.wikidata.org/entity/Q55219,Star Wars: Bounty Hunter,single-player video game
http://www.wikidata.org/entity/Q55237,Star Wars: Republic Commando: Order 66,single-player video game
http://www.wikidata.org/entity/Q55251,Star Wars: Behind the Magic,single-player video game
http://www.wikidata.org/entity/Q55259,Star Wars: Rebel Assault,single-player video game
http://www.wikidata.org/entity/Q55314,Star Wars: X-Wing vs. TIE Fighter,single-player video game
http://www.wikidata.org/entity/Q55312,Star Wars: TIE Fighter,single-player video game
http://www.wikidata.org/entity/Q55555,19 Part One: Boot Camp,single-player video game
http://www.wikidata.org/entity/Q58120,Dumb Ways to Die,
http://www.wikidata.org/entity/Q55228,Lego Star Wars III: The Clone Wars,cooperative gameplay
http://www.wikidata.org/entity/Q54862,Star Wars Battlefront,single-player video game
http://www.wikidata.org/entity/Q55253,Star Wars: Flight of the Falcon,single-player video game
http://www.wikidata.org/entity/Q55313,Star Wars: X-Wing Alliance,single-player video game
http://www.wikidata.org/entity/Q55537,180,single-player video game
http://www.wikidata.org/entity/Q55533,Saboteur II: Avenging Angel,single-player video game
http://www.wikidata.org/entity/Q55670,Quazatron,single-player video game
http://www.wikidata.org/entity/Q55817,Alchemist,single-player video game
http://www.wikidata.org/entity/Q57631,Angler,single-player video game
http://www.wikidata.org/entity/Q55534,Cyclone,single-player video game
http://www.wikidata.org/entity/Q55676,Sherlock,single-player video game
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,multiplayer video game
http://www.wikidata.org/entity/Q55291,Star Wars Jedi Knight: Dark Forces II,multiplayer video game
http://www.wikidata.org/entity/Q55673,R-Type,multiplayer video game
http://www.wikidata.org/entity/Q55616,Battlezone,single-player video game
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron,multiplayer video game
http://www.wikidata.org/entity/Q55217,Star Wars Episode I: Racer,multiplayer video game
http://www.wikidata.org/entity/Q55298,Star Wars Jedi Knight II: Jedi Outcast,multiplayer video game
http://www.wikidata.org/entity/Q55315,Star Wars: Empire at War,multiplayer video game
http://www.wikidata.org/entity/Q55815,Elite,single-player video game
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,single-player video game
http://www.wikidata.org/entity/Q55229,Star Wars: Jedi Starfighter,single-player video game
http://www.wikidata.org/entity/Q55291,Star Wars Jedi Knight: Dark Forces II,single-player video game
http://www.wikidata.org/entity/Q55565,3D Monster Chase,single-player video game
http://www.wikidata.org/entity/Q55673,R-Type,single-player video game
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,multiplayer video game
http://www.wikidata.org/entity/Q55227,Star Wars: Super Bombad Racing,multiplayer video game
http://www.wikidata.org/entity/Q55254,Star Wars: Force Commander,multiplayer video game
http://www.wikidata.org/entity/Q55257,Star Wars: Masters of Teräs Käsi,multiplayer video game
http://www.wikidata.org/entity/Q55620,Bionic Commando,multiplayer video game
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,cooperative gameplay
http://www.wikidata.org/entity/Q55229,Star Wars: Jedi Starfighter,cooperative gameplay
http://www.wikidata.org/entity/Q45028,Halo 4,single-player video game
