videogames,videogamesLabel,developerLabel,publisherLabel,designedByLabel,composerLabel
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q83524,Family Guy: Back to the Multiverse,Heavy Iron Studios,Activision Publishing,,Walter Murphy
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Heavy Iron Studios,Sony Interactive Entertainment,Warren Spector,James Dooley
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Junction Point Studios,Sony Interactive Entertainment,Warren Spector,James Dooley
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Blitz Games Studios,Sony Interactive Entertainment,Warren Spector,James Dooley
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Heavy Iron Studios,Disney Interactive Studios,Warren Spector,James Dooley
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Junction Point Studios,Disney Interactive Studios,Warren Spector,James Dooley
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Blitz Games Studios,Disney Interactive Studios,Warren Spector,James Dooley
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Heavy Iron Studios,Sony Interactive Entertainment,Warren Spector,Mike Himelstein
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Junction Point Studios,Sony Interactive Entertainment,Warren Spector,Mike Himelstein
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Blitz Games Studios,Sony Interactive Entertainment,Warren Spector,Mike Himelstein
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Heavy Iron Studios,Disney Interactive Studios,Warren Spector,Mike Himelstein
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Junction Point Studios,Disney Interactive Studios,Warren Spector,Mike Himelstein
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,Blitz Games Studios,Disney Interactive Studios,Warren Spector,Mike Himelstein
http://www.wikidata.org/entity/Q83843,Forza Horizon,Turn 10 Studios,Xbox Game Studios,,
http://www.wikidata.org/entity/Q83843,Forza Horizon,Playground Games,Xbox Game Studios,,
http://www.wikidata.org/entity/Q83995,Warlock: Master of the Arcane,1C Company,Paradox Interactive,,
http://www.wikidata.org/entity/Q87693,4 Soccer Simulators,Codemasters,,,Allister Brimble
http://www.wikidata.org/entity/Q88226,4x4 Off-Road Racing,,Epyx,,
http://www.wikidata.org/entity/Q88240,720°,Atari Games,,,
http://www.wikidata.org/entity/Q88255,750cc Grand Prix,,Codemasters,,
http://www.wikidata.org/entity/Q88273,A Jax,Konami,Konami,,
http://www.wikidata.org/entity/Q88456,A Question of Sport,Elite Systems,Superior Software,Richard Underhill,
http://www.wikidata.org/entity/Q88486,A View to a Kill,Domark Software,,,Duran Duran
http://www.wikidata.org/entity/Q88486,A View to a Kill,Domark Software,,,Monty Norman
http://www.wikidata.org/entity/Q88486,A View to a Kill,Domark Software,,,Antony Crowther
http://www.wikidata.org/entity/Q88519,Aaargh!,,Arcadia Systems,Steve Coleman,
http://www.wikidata.org/entity/Q88545,Abyss,Cases Computer Simulations,Cases Computer Simulations,,
http://www.wikidata.org/entity/Q88582,Heroes Of The Lance,U.S. Gold,Strategic Simulations,,
http://www.wikidata.org/entity/Q88604,3-D Tic-Tac-Toe,Atari,Atari,Carol Shaw,
http://www.wikidata.org/entity/Q88604,3-D Tic-Tac-Toe,Atari,Sears,Carol Shaw,
http://www.wikidata.org/entity/Q88649,Mission Asteroid,,,,
http://www.wikidata.org/entity/Q88742,Bubble Dizzy,Oliver Twins,Codemasters,,
http://www.wikidata.org/entity/Q88759,Bubble Bobble,Taito Corporation,Toei Company,Fukio Mitsuji,
http://www.wikidata.org/entity/Q88759,Bubble Bobble,Toei Company,Toei Company,Fukio Mitsuji,
http://www.wikidata.org/entity/Q88759,Bubble Bobble,Taito Corporation,Romstar,Fukio Mitsuji,
http://www.wikidata.org/entity/Q88759,Bubble Bobble,Toei Company,Romstar,Fukio Mitsuji,
http://www.wikidata.org/entity/Q88828,Captain Blood,ERE Informatique,Infogrames,,
http://www.wikidata.org/entity/Q88855,California Games,Epyx,Epyx,,
